  Fermat    Miller  Strassen Erastotene
587 0.012955 0.012076 0.013533
588 0.012929 0.011864 0.013453
589 0.012935 0.013875 0.013478
590 0.012948 0.014304 0.013552
591 0.012969 0.011858 0.013527
592 0.012943 0.011838 0.013491
593 0.012970 0.014120 0.013523
594 0.012980 0.011889 0.013561
595 0.013020 0.011897 0.013561
596 0.012986 0.011915 0.013565
597 0.013019 0.011893 0.013594
598 0.013006 0.012073 0.013612
599 0.013020 0.012025 0.013562
600 0.013083 0.011921 0.013612
601 0.013091 0.011919 0.013578
602 0.013064 0.018363 0.013593
603 0.013030 0.034437 0.013620
604 0.013100 0.022437 0.013685
605 0.013086 0.014063 0.013672
606 0.013114 0.013900 0.013821
607 0.013165 0.014700 0.013721
608 0.013164 0.014140 0.013707
609 0.013223 0.022422 0.013777
610 0.013211 0.012038 0.013771
611 0.013177 0.014554 0.013772
612 0.013177 0.019201 0.013742
613 0.013202 0.027735 0.013758
614 0.013198 0.014582 0.013771
615 0.013216 0.012098 0.013816
616 0.013240 0.012035 0.013820
617 0.013245 0.012054 0.013805
618 0.013242 0.012059 0.013818
619 0.013251 0.012094 0.013820
620 0.013254 0.012187 0.013877
621 0.013265 0.012122 0.013856
622 0.013383 0.012103 0.016951
623 0.013301 0.012113 0.013863
624 0.013308 0.012110 0.013898
625 0.013325 0.018310 0.013927
626 0.013378 0.012164 0.013942
627 0.013362 0.012174 0.013906
628 0.013470 0.019227 0.013975
629 0.013452 0.019011 0.013988
630 0.013569 0.012236 0.013990
631 0.013379 0.040204 0.013998
632 0.013383 0.012216 0.013992
633 0.013352 0.028218 0.014017
634 0.013417 0.019108 0.014029
635 0.013424 0.014133 0.014082
636 0.013400 0.024137 0.016861
637 0.013442 0.012303 0.014113
638 0.013425 0.014855 0.014089
639 0.013125 0.013650 0.013765
640 0.013987 0.012843 0.014632
641 0.014103 0.019996 0.014714
642 0.014131 0.017474 0.014749
643 0.014087 0.012903 0.014700
644 0.014205 0.012896 0.014719
645 0.014074 0.023166 0.014656
646 0.014024 0.017082 0.014705
647 0.014075 0.020918 0.014719
648 0.014007 0.025255 0.014705
649 0.014043 0.019329 0.014673
650 0.014021 0.039367 0.014695
651 0.014022 0.018608 0.014736
652 0.014088 0.015516 0.014739
653 0.014061 0.012835 0.014751
654 0.014054 0.012837 0.014729
655 0.014089 0.014144 0.014731
656 0.014066 0.026294 0.014757
657 0.014100 0.012890 0.014799
658 0.014096 0.015351 0.014797
659 0.014144 0.020114 0.014806
660 0.014209 0.015899 0.014867
661 0.014120 0.016296 0.014800
662 0.014192 0.016350 0.014924
663 0.014174 0.012932 0.014888
664 0.014180 0.012961 0.014883
665 0.014237 0.012974 0.014939
666 0.014239 0.013008 0.014923
667 0.014220 0.015251 0.014960
668 0.014199 0.043741 0.015194
669 0.014230 0.012953 0.014894
670 0.014191 0.021434 0.014932
671 0.014251 0.012969 0.014978
672 0.014293 0.012979 0.014973
673 0.014324 0.014930 0.015081
674 0.014315 0.013037 0.015151
675 0.014289 0.016988 0.015041
676 0.014291 0.013047 0.015025
677 0.014317 0.015611 0.015081
678 0.014312 0.017010 0.015081
679 0.014346 0.013055 0.015065
680 0.014348 0.013078 0.015044
681 0.014355 0.013103 0.015100
682 0.014345 0.013116 0.015086
683 0.014378 0.013101 0.015086
684 0.014396 0.013128 0.015136
685 0.014406 0.013109 0.015116
686 0.014438 0.013146 0.015142
687 0.014434 0.015760 0.015128
688 0.014454 0.015295 0.015366
689 0.014471 0.013140 0.015163
690 0.014461 0.014586 0.015199
691 0.014494 0.013158 0.015205
692 0.014478 0.013201 0.015218
693 0.014511 0.013201 0.015274
694 0.014481 0.013214 0.015257
695 0.014522 0.028309 0.015299
696 0.014514 0.022382 0.015292
697 0.014528 0.020882 0.015269
698 0.014609 0.013271 0.015346
699 0.014594 0.013278 0.015318
700 0.014563 0.013260 0.015332
701 0.014551 0.040257 0.015378
702 0.014602 0.067098 0.015511
703 0.017052 0.015879 0.017748
704 0.015274 0.013922 0.015919
705 0.015453 0.023578 0.016534
706 0.018134 0.024620 0.019657
707 0.015494 0.017524 0.016117
708 0.017774 0.020697 0.016345
709 0.015268 0.013980 0.015998
710 0.018514 0.030197 0.016220
711 0.015987 0.014694 0.016918
712 0.017365 0.023145 0.018018
713 0.015217 0.013872 0.015996
714 0.015187 0.013822 0.016002
715 0.015234 0.025596 0.015989
716 0.015235 0.013875 0.016013
717 0.015215 0.013852 0.016022
718 0.015253 0.021886 0.016098
